目的地,日期,總金額,旅程日期,Rank
沖繩,2024-03-12,5798,7,Top2
濟州,2024-03-09,6198,7,Top3
仁川,2024-04-13,3998,7,Top1
釜山,2024-04-21,5298,7,Top2
沖繩,2024-04-07,6598,7,Top3
仁川,2024-05-20,4598,7,Top1
釜山,2024-05-19,5498,7,Top2
沖繩,2024-05-21,6198,7,Top3
仁川,2024-06-15,4598,7,Top1
釜山,2024-06-16,5198,7,Top2
濟州,2024-06-15,5998,7,Top3
仁川,2024-07-27,4598,7,Top1
釜山,2024-07-28,5198,7,Top2
濟州,2024-07-31,5998,7,Top3
仁川,2024-08-27,4598,7,Top1
濟州,2024-08-31,5198,7,Top2
釜山,2024-08-26,5198,7,Top3
仁川,2024-09-28,4598,7,Top1
福岡,2024-09-28,5098,7,Top2
釜山,2024-09-01,5198,7,Top3
仁川,2024-10-02,4598,7,Top1
沖繩,2024-10-03,4898,7,Top2
福岡,2024-10-02,5098,7,Top3
大邱,2024-01-09,3998,8,Top1
釜山,2024-01-04,4298,8,Top2
濟州,2024-01-10,4598,8,Top3
大邱,2024-02-20,4598,8,Top1
沖繩,2024-02-15,5198,8,Top2
釜山,2024-02-19,5298,8,Top3
大邱,2024-03-01,4598,8,Top1
沖繩,2024-03-12,5198,8,Top2
仁川,2024-03-12,5698,8,Top3
仁川,2024-04-13,4598,8,Top1
釜山,2024-04-11,5298,8,Top2
福岡,2024-04-09,6898,8,Top3
仁川,2024-05-20,4898,8,Top1
釜山,2024-05-16,5498,8,Top2
濟州,2024-05-24,6398,8,Top3
仁川,2024-06-01,4598,8,Top1
釜山,2024-06-15,5198,8,Top2
濟州,2024-06-12,5598,8,Top3
仁川,2024-07-24,4598,8,Top1
釜山,2024-07-31,5198,8,Top2
濟州,2024-07-31,5598,8,Top3
仁川,2024-08-31,4598,8,Top1
釜山,2024-08-31,5198,8,Top2
濟州,2024-08-28,5198,8,Top3
仁川,2024-09-28,4598,8,Top1
福岡,2024-09-27,5098,8,Top2
釜山,2024-09-01,5198,8,Top3
仁川,2024-10-01,4598,8,Top1
沖繩,2024-10-02,4898,8,Top2
福岡,2024-10-01,5098,8,Top3
濟州,2024-01-09,4598,9,Top1
釜山,2024-01-06,4598,9,Top2
沖繩,2024-01-01,4698,9,Top3
沖繩,2024-02-18,5198,9,Top1
釜山,2024-02-18,5298,9,Top2
仁川,2024-02-18,5298,9,Top3
沖繩,2024-03-18,5498,9,Top1
仁川,2024-03-10,5698,9,Top2
釜山,2024-03-10,7398,9,Top3
仁川,2024-04-15,4598,9,Top1
釜山,2024-04-10,5298,9,Top2
沖繩,2024-04-28,6198,9,Top3
仁川,2024-05-13,4598,9,Top1
釜山,2024-05-12,5798,9,Top2
濟州,2024-05-24,6298,9,Top3
仁川,2024-06-12,4598,9,Top1
釜山,2024-06-12,5198,9,Top2
濟州,2024-06-11,5998,9,Top3
仁川,2024-07-25,4598,9,Top1
釜山,2024-07-31,5198,9,Top2
濟州,2024-07-30,5598,9,Top3
仁川,2024-08-11,4598,9,Top1
濟州,2024-08-27,5198,9,Top2
釜山,2024-08-28,5198,9,Top3
仁川,2024-09-21,4598,9,Top1
福岡,2024-09-30,4798,9,Top2
釜山,2024-09-29,5198,9,Top3
仁川,2024-10-15,4598,9,Top1
沖繩,2024-10-01,4898,9,Top2
福岡,2024-10-01,5098,9,Top3
釜山,2024-01-04,4298,10,Top1
濟州,2024-01-10,4598,10,Top2
沖繩,2024-01-01,4698,10,Top3
沖繩,2024-02-18,5198,10,Top1
仁川,2024-02-18,5698,10,Top2
釜山,2024-02-17,6998,10,Top3
沖繩,2024-03-12,5498,10,Top1
仁川,2024-03-09,5698,10,Top2
濟州,2024-03-06,6198,10,Top3
仁川,2024-04-15,3998,10,Top1
沖繩,2024-04-28,5898,10,Top2
釜山,2024-04-08,6198,10,Top3
仁川,2024-05-22,4898,10,Top1
釜山,2024-05-20,5498,10,Top2
濟州,2024-05-08,5998,10,Top3
仁川,2024-06-04,4598,10,Top1
濟州,2024-06-12,5198,10,Top2
釜山,2024-06-17,5498,10,Top3
仁川,2024-07-28,4598,10,Top1
釜山,2024-07-29,5198,10,Top2
濟州,2024-07-17,5598,10,Top3
仁川,2024-08-28,4598,10,Top1
釜山,2024-08-29,5198,10,Top2
濟州,2024-08-07,5198,10,Top3
仁川,2024-09-21,4598,10,Top1
福岡,2024-09-30,4798,10,Top2
沖繩,2024-09-30,4898,10,Top3
仁川,2024-10-14,4598,10,Top1
釜山,2024-10-07,5198,10,Top2
沖繩,2024-10-02,5498,10,Top3
釜山,2024-01-04,3998,11,Top1
大邱,2024-01-09,3998,11,Top2
濟州,2024-01-09,4598,11,Top3
大邱,2024-02-20,4598,11,Top1
沖繩,2024-02-20,5198,11,Top2
仁川,2024-02-26,5698,11,Top3
沖繩,2024-03-18,5198,11,Top1
大邱,2024-03-12,5198,11,Top2
仁川,2024-03-08,5698,11,Top3
仁川,2024-04-13,4598,11,Top1
釜山,2024-04-14,5298,11,Top2
沖繩,2024-04-28,5898,11,Top3
仁川,2024-05-13,4598,11,Top1
釜山,2024-05-30,5498,11,Top2
濟州,2024-05-31,6298,11,Top3
仁川,2024-06-12,4598,11,Top1
釜山,2024-06-03,5198,11,Top2
濟州,2024-06-12,5598,11,Top3
仁川,2024-07-29,4598,11,Top1
釜山,2024-07-17,5198,11,Top2
濟州,2024-07-31,5598,11,Top3
仁川,2024-08-30,4598,11,Top1
濟州,2024-08-27,5198,11,Top2
釜山,2024-08-29,5198,11,Top3
仁川,2024-09-11,4598,11,Top1
福岡,2024-09-28,5098,11,Top2
濟州,2024-09-11,5198,11,Top3
仁川,2024-10-15,4598,11,Top1
釜山,2024-10-16,5198,11,Top2
沖繩,2024-10-06,5498,11,Top3
大邱,2024-01-05,3398,12,Top1
釜山,2024-01-04,4298,12,Top2
沖繩,2024-01-09,4698,12,Top3
大邱,2024-02-23,4598,12,Top1
沖繩,2024-02-18,5498,12,Top2
仁川,2024-02-28,5698,12,Top3
沖繩,2024-03-18,5198,12,Top1
大邱,2024-03-15,5498,12,Top2
仁川,2024-03-07,5698,12,Top3
仁川,2024-04-13,3998,12,Top1
釜山,2024-04-14,5298,12,Top2
沖繩,2024-04-28,5898,12,Top3
仁川,2024-05-20,4598,12,Top1
釜山,2024-05-19,5498,12,Top2
成田,2024-05-29,6098,12,Top3
仁川,2024-06-17,4598,12,Top1
釜山,2024-06-02,4898,12,Top2
濟州,2024-06-11,5998,12,Top3
仁川,2024-07-28,4598,12,Top1
釜山,2024-07-28,5198,12,Top2
濟州,2024-07-30,5598,12,Top3
仁川,2024-08-21,4598,12,Top1
釜山,2024-08-29,5198,12,Top2
濟州,2024-08-24,5198,12,Top3
仁川,2024-09-11,4598,12,Top1
釜山,2024-09-11,4898,12,Top2
福岡,2024-09-28,5098,12,Top3
仁川,2024-10-07,4598,12,Top1
釜山,2024-10-12,5498,12,Top2
沖繩,2024-10-13,5498,12,Top3
釜山,2024-01-08,4298,13,Top1
濟州,2024-01-05,4598,13,Top2
沖繩,2024-01-02,4698,13,Top3
沖繩,2024-02-18,5198,13,Top1
釜山,2024-02-24,5698,13,Top2
仁川,2024-02-28,5698,13,Top3
仁川,2024-03-19,3998,13,Top1
沖繩,2024-03-11,5898,13,Top2
釜山,2024-03-06,7398,13,Top3
仁川,2024-04-13,4898,13,Top1
釜山,2024-04-27,5598,13,Top2
沖繩,2024-04-24,5798,13,Top3
仁川,2024-05-11,4898,13,Top1
釜山,2024-05-18,5798,13,Top2
羽田,2024-05-30,5898,13,Top3
仁川,2024-06-01,4598,13,Top1
釜山,2024-06-01,5198,13,Top2
羽田,2024-06-03,6698,13,Top3
仁川,2024-07-27,4598,13,Top1
釜山,2024-07-22,5198,13,Top2
濟州,2024-07-26,5998,13,Top3
仁川,2024-08-21,4598,13,Top1
釜山,2024-08-07,5198,13,Top2
濟州,2024-08-23,5598,13,Top3
仁川,2024-09-22,4598,13,Top1
福岡,2024-09-26,5098,13,Top2
釜山,2024-09-09,5198,13,Top3
仁川,2024-10-04,4598,13,Top1
釜山,2024-10-14,5198,13,Top2
福岡,2024-10-13,5398,13,Top3
釜山,2024-01-04,3998,14,Top1
沖繩,2024-01-01,4698,14,Top2
濟州,2024-01-06,5298,14,Top3
沖繩,2024-02-21,5198,14,Top1
仁川,2024-02-26,5698,14,Top2
釜山,2024-02-18,6498,14,Top3
仁川,2024-03-18,3998,14,Top1
沖繩,2024-03-12,5498,14,Top2
濟州,2024-03-09,6198,14,Top3
仁川,2024-04-13,3998,14,Top1
釜山,2024-04-14,5298,14,Top2
沖繩,2024-04-24,5498,14,Top3
仁川,2024-05-13,4598,14,Top1
釜山,2024-05-27,5498,14,Top2
沖繩,2024-05-14,6198,14,Top3
仁川,2024-06-05,4598,14,Top1
釜山,2024-06-02,5498,14,Top2
濟州,2024-06-12,5998,14,Top3
仁川,2024-07-24,4598,14,Top1
釜山,2024-07-29,5198,14,Top2
濟州,2024-07-17,5998,14,Top3
仁川,2024-08-17,4598,14,Top1
濟州,2024-08-24,5198,14,Top2
釜山,2024-08-29,5198,14,Top3
仁川,2024-09-25,4598,14,Top1
釜山,2024-09-09,4898,14,Top2
福岡,2024-09-10,5098,14,Top3
仁川,2024-10-07,4598,14,Top1
釜山,2024-10-03,5198,14,Top2
福岡,2024-10-03,5398,14,Top3
大邱,2024-01-05,3398,15,Top1
釜山,2024-01-08,4298,15,Top2
濟州,2024-01-05,4598,15,Top3
大邱,2024-02-20,3398,15,Top1
沖繩,2024-02-21,5198,15,Top2
仁川,2024-02-21,5298,15,Top3
仁川,2024-03-17,3998,15,Top1
大邱,2024-03-08,5198,15,Top2
沖繩,2024-03-12,5498,15,Top3
仁川,2024-04-10,4898,15,Top1
釜山,2024-04-22,5298,15,Top2
沖繩,2024-04-23,5498,15,Top3
仁川,2024-05-28,4598,15,Top1
釜山,2024-05-09,5498,15,Top2
羽田,2024-05-28,5898,15,Top3
仁川,2024-06-01,4598,15,Top1
釜山,2024-06-02,5198,15,Top2
濟州,2024-06-05,5998,15,Top3
仁川,2024-07-29,4598,15,Top1
釜山,2024-07-31,5198,15,Top2
濟州,2024-07-31,5998,15,Top3
仁川,2024-08-18,4598,15,Top1
釜山,2024-08-17,5198,15,Top2
濟州,2024-08-21,5198,15,Top3
仁川,2024-09-22,4598,15,Top1
釜山,2024-09-08,4898,15,Top2
福岡,2024-09-19,5098,15,Top3
仁川,2024-10-12,4598,15,Top1
濟州,2024-10-04,5198,15,Top2
釜山,2024-10-12,5198,15,Top3
